Starting DroneDriver
ToggleCam 0
vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, -0.001250, PID, 0.007500
vel_x, Err, 3.000000, P, 0.003000, I, 0.000000, D, -0.001000, PID, 0.002000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, 0.000000, PID, 0.008750
vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.001000, PID, 0.005000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, 0.000000, PID, 0.008750
vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.001000, PID, 0.006000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, 0.000000, PID, 0.008750
vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.001000, PID, 0.007000
vel_y, Err, 8.000000, P, 0.010000, I, 0.000000, D, 0.001250, PID, 0.011250
vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, 0.001000, PID, 0.008000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, -0.001250, PID, 0.007500
vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.001000, PID, 0.009000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, 0.000000, PID, 0.008750
vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.001000, PID, 0.010000
vel_y, Err, 7.000000, P, 0.008750, I, 0.000000, D, 0.000000, PID, 0.008750
vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, 0.001000, PID, 0.011000
vel_y, Err, 6.000000, P, 0.007500, I, 0.000000, D, -0.001250, PID, 0.006250
vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, -0.001000, PID, 0.008000
vel_y, Err, 6.000000, P, 0.007500, I, 0.000000, D, 0.000000, PID, 0.007500
vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, -0.001000, PID, 0.007000
vel_y, Err, 5.000000, P, 0.006250, I, 0.000000, D, -0.001250, PID, 0.005000
vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.001000, PID, 0.010000
vel_y, Err, 3.000000, P, 0.003750, I, 0.000000, D, -0.002500, PID, 0.001250
vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, 0.001000, PID, 0.011000
vel_y, Err, 3.000000, P, 0.003750, I, 0.000000, D, 0.000000, PID, 0.003750
vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.003000, PID, 0.016000
vel_y, Err, 3.000000, P, 0.003750, I, 0.000000, D, 0.000000, PID, 0.003750
vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, 0.002000, PID, 0.017000
vel_y, Err, 1.000000, P, 0.001250, I, 0.000000, D, -0.002500, PID, -0.001250
vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, 0.000000, PID, 0.015000
