2011-11-23 16:06:12,461 Starting DroneDriver
2011-11-23 16:06:38,028 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:38,029 vel_y, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000800, PID, -0.019200
2011-11-23 16:06:38,051 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:38,051 vel_y, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000000, PID, -0.020000
2011-11-23 16:06:38,503 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:38,504 vel_y, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.000800, PID, -0.021800
2011-11-23 16:06:39,001 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, -0.001600, PID, 0.004400
2011-11-23 16:06:39,002 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, -0.002400, PID, -0.026400
2011-11-23 16:06:39,028 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.000000, PID, 0.006000
2011-11-23 16:06:39,028 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:39,050 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.000000, PID, 0.006000
2011-11-23 16:06:39,050 vel_y, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.001600, PID, -0.020400
2011-11-23 16:06:40,028 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, 0.000800, PID, 0.007800
2011-11-23 16:06:40,029 vel_y, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000800, PID, -0.020200
2011-11-23 16:06:40,053 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, -0.000800, PID, 0.005200
2011-11-23 16:06:40,054 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, -0.004000, PID, -0.030000
2011-11-23 16:06:40,078 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.001600, PID, 0.002400
2011-11-23 16:06:40,078 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, -0.004800, PID, -0.036800
2011-11-23 16:06:40,102 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
2011-11-23 16:06:40,102 vel_y, Err, -33.000000, P, -0.033000, I, 0.000000, D, -0.000800, PID, -0.033800
2011-11-23 16:06:41,053 vel_x, Err, 1.000000, P, 0.001000, I, 0.000000, D, -0.002400, PID, -0.001400
2011-11-23 16:06:41,054 vel_y, Err, -39.000000, P, -0.039000, I, 0.000000, D, -0.004800, PID, -0.043800
2011-11-23 16:06:41,079 vel_x, Err, 1.000000, P, 0.001000, I, 0.000000, D, 0.000000, PID, 0.001000
2011-11-23 16:06:41,079 vel_y, Err, -41.000000, P, -0.041000, I, 0.000000, D, -0.001600, PID, -0.042600
2011-11-23 16:06:41,100 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, -0.000800, PID, -0.000800
2011-11-23 16:06:41,101 vel_y, Err, -44.000000, P, -0.044000, I, 0.000000, D, -0.002400, PID, -0.046400
2011-11-23 16:06:41,128 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:41,128 vel_y, Err, -45.000000, P, -0.045000, I, 0.000000, D, -0.000800, PID, -0.045800
2011-11-23 16:06:41,578 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:41,579 vel_y, Err, -47.000000, P, -0.047000, I, 0.000000, D, -0.001600, PID, -0.048600
2011-11-23 16:06:42,079 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:42,079 vel_y, Err, -47.000000, P, -0.047000, I, 0.000000, D, 0.000000, PID, -0.047000
2011-11-23 16:06:42,103 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:42,104 vel_y, Err, -54.000000, P, -0.054000, I, 0.000000, D, -0.005600, PID, -0.059600
2011-11-23 16:06:42,128 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:42,129 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, -0.001600, PID, -0.057600
2011-11-23 16:06:42,153 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:42,153 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:06:43,104 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:43,104 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:06:45,179 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:45,179 vel_y, Err, -43.000000, P, -0.043000, I, 0.000000, D, 0.000000, PID, -0.043000
2011-11-23 16:06:45,203 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.004000, PID, 0.017000
2011-11-23 16:06:45,203 vel_y, Err, -39.000000, P, -0.039000, I, 0.000000, D, 0.003200, PID, -0.035800
2011-11-23 16:06:45,228 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.000000, PID, 0.013000
2011-11-23 16:06:45,229 vel_y, Err, -39.000000, P, -0.039000, I, 0.000000, D, 0.000000, PID, -0.039000
2011-11-23 16:06:45,678 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.000000, PID, 0.013000
2011-11-23 16:06:45,679 vel_y, Err, -37.000000, P, -0.037000, I, 0.000000, D, 0.001600, PID, -0.035400
2011-11-23 16:06:46,179 vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, 0.001600, PID, 0.016600
2011-11-23 16:06:46,180 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.007200, PID, -0.020800
2011-11-23 16:06:46,203 vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000800, PID, 0.016800
2011-11-23 16:06:46,204 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.004000, PID, -0.019000
2011-11-23 16:06:46,228 vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000000, PID, 0.016000
2011-11-23 16:06:46,229 vel_y, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.000800, PID, -0.021200
2011-11-23 16:06:46,250 vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000000, PID, 0.016000
2011-11-23 16:06:46,251 vel_y, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.000000, PID, -0.022000
2011-11-23 16:06:47,203 vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, -0.004800, PID, 0.005200
2011-11-23 16:06:47,204 vel_y, Err, -62.000000, P, -0.062000, I, 0.000000, D, -0.032000, PID, -0.080000
2011-11-23 16:06:47,227 vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, 0.000000, PID, 0.010000
2011-11-23 16:06:47,227 vel_y, Err, -62.000000, P, -0.062000, I, 0.000000, D, 0.000000, PID, -0.062000
